"";"date";"temperature";"humidite";"ID"
"1";2004-01-01;3,07500000000002;77;2004
"2";2004-01-02;7,42500000000003;63,25;2004
"3";2004-01-03;2,95000000000002;64,75;2004
"4";2004-01-04;1,27500000000003;59,375;2004
"5";2004-01-05;4,60000000000002;62,125;2004
"6";2004-01-06;3,05000000000001;73,75;2004
"7";2004-01-07;4,27500000000002;81,375;2004
"8";2004-01-08;6,02500000000002;82,625;2004
"9";2004-01-09;6,90000000000002;93,875;2004
"10";2004-01-10;8,95000000000003;83,75;2004
"11";2004-01-11;10,4875;85,75;2004
"12";2004-01-12;13,3375;75;2004
"13";2004-01-13;15,475;71,125;2004
"14";2004-01-14;12,8625;65,25;2004
"15";2004-01-15;8,75000000000003;51,875;2004
"16";2004-01-16;6,21250000000002;72,875;2004
"17";2004-01-17;10,05;77,25;2004
"18";2004-01-18;8,20000000000002;55,5;2004
"19";2004-01-19;6,57500000000002;42,125;2004
"20";2004-01-20;10,15;56,875;2004
"21";2004-01-21;12,3625;56,25;2004
"22";2004-01-22;9,20000000000003;70;2004
"23";2004-01-23;7,16250000000003;83,875;2004
"24";2004-01-24;6,15000000000002;88,75;2004
"25";2004-01-25;7,60000000000002;58,375;2004
"26";2004-01-26;4,56250000000001;92,25;2004
"27";2004-01-27;6,32500000000003;60,625;2004
"28";2004-01-28;5,48750000000002;51,125;2004
"29";2004-01-29;3,65000000000003;54,125;2004
"30";2004-01-30;1,90000000000001;62;2004
"31";2004-01-31;8,33750000000002;91,625;2004
"32";2004-02-01;9,51250000000002;91,5;2004
"33";2004-02-02;6,26250000000002;95,25;2004
"34";2004-02-03;6,41250000000002;97,875;2004
"35";2004-02-04;7,40000000000003;94,625;2004
"36";2004-02-05;7,98750000000003;89,625;2004
"37";2004-02-06;6,91250000000002;97;2004
"38";2004-02-07;11,0375;72,75;2004
"39";2004-02-08;9,53750000000002;55,625;2004
"40";2004-02-09;8,08750000000002;49,625;2004
"41";2004-02-10;7,50000000000002;39,25;2004
"42";2004-02-11;6,85000000000002;61,625;2004
"43";2004-02-12;10,35;54,625;2004
"44";2004-02-13;7,78750000000002;69,25;2004
"45";2004-02-14;6,56250000000003;79,375;2004
"46";2004-02-15;7,36250000000003;72,75;2004
"47";2004-02-16;6,48750000000003;67,125;2004
"48";2004-02-17;7,60000000000002;69,375;2004
"49";2004-02-18;7,85000000000003;67;2004
"50";2004-02-19;5,42500000000002;54,25;2004
"51";2004-02-20;4,53750000000003;86,125;2004
"52";2004-02-21;11,4375;85,5;2004
"53";2004-02-22;12,0875;84,125;2004
"54";2004-02-23;8,10000000000002;64;2004
"55";2004-02-24;5,15000000000002;40,875;2004
"56";2004-02-25;5,17500000000003;59,5;2004
"57";2004-02-26;6,41250000000003;71,75;2004
"58";2004-02-27;3,22500000000002;51,25;2004
"59";2004-02-28;4,03750000000003;54,125;2004
"60";2004-02-29;4,23750000000002;44;2004
"61";2004-03-01;3,87500000000002;41,625;2004
"62";2004-03-02;4,80000000000002;41,75;2004
"63";2004-03-03;7,71250000000003;50;2004
"64";2004-03-04;9,48750000000003;48;2004
"65";2004-03-05;13,3125;69,5;2004
"66";2004-03-06;9,86250000000003;92;2004
"67";2004-03-07;8,45000000000002;61,375;2004
"68";2004-03-08;7,86250000000002;52,375;2004
"69";2004-03-09;7,85000000000003;45;2004
"70";2004-03-10;4,85000000000003;62,25;2004
"71";2004-03-11;4,60000000000002;55;2004
"72";2004-03-12;8,93750000000003;82,75;2004
"73";2004-03-13;10,5;81;2004
"74";2004-03-14;10,025;90,5;2004
"75";2004-03-15;10,7;84,875;2004
"76";2004-03-16;12,0375;75,75;2004
"77";2004-03-17;12,0125;75,25;2004
"78";2004-03-18;10,7625;86,625;2004
"79";2004-03-19;12,7625;71,75;2004
"80";2004-03-20;15,8;63,625;2004
"81";2004-03-21;14,55;58,625;2004
"82";2004-03-22;11,0875;51,25;2004
"83";2004-03-23;9,83750000000003;45,875;2004
"84";2004-03-24;9,33750000000002;43,25;2004
"85";2004-03-25;9,31250000000002;44;2004
"86";2004-03-26;7,93750000000002;51,5;2004
"87";2004-03-27;6,57500000000002;50,25;2004
"88";2004-03-28;8,72857142857145;61,2857142857143;2004
"89";2004-03-29;12,8833333333334;55;2004
"90";2004-03-30;11,2625;77,25;2004
"91";2004-03-31;12,4125;86,5;2004
"92";2004-04-01;12,4875;89,875;2004
"93";2004-04-02;12,3125;93,75;2004
"94";2004-04-03;12,675;66;2004
"95";2004-04-04;13,325;68,375;2004
"96";2004-04-05;16,175;50,375;2004
"97";2004-04-06;12,7375;57,625;2004
"98";2004-04-07;12,4;49,625;2004
"99";2004-04-08;10,1;56,5;2004
"100";2004-04-09;9,86250000000003;59,125;2004
"101";2004-04-10;10,125;51,75;2004
"102";2004-04-11;11,8;47,125;2004
"103";2004-04-12;11,5375;61,875;2004
"104";2004-04-13;14,0125;42;2004
"105";2004-04-14;12,075;59,125;2004
"106";2004-04-15;12;81,875;2004
"107";2004-04-16;11,5;84,75;2004
"108";2004-04-17;13,525;72,625;2004
"109";2004-04-18;11,875;74;2004
"110";2004-04-19;11,1875;60,5;2004
"111";2004-04-20;14,5125;63,5;2004
"112";2004-04-21;13,6875;77,25;2004
"113";2004-04-22;13,475;88,25;2004
"114";2004-04-23;17,4125;61,75;2004
"115";2004-04-24;18,175;54,875;2004
"116";2004-04-25;16,2875;49,25;2004
"117";2004-04-26;14,35;73,125;2004
"118";2004-04-27;14,2875;77,75;2004
"119";2004-04-28;14,75;79,625;2004
"120";2004-04-29;13,35;94,75;2004
"121";2004-04-30;12,2625;81,875;2004
"122";2004-05-01;11,3375;81,25;2004
"123";2004-05-02;14,95;88,25;2004
"124";2004-05-03;13,375;87,875;2004
"125";2004-05-04;15,0125;72,625;2004
"126";2004-05-05;12,35;64,875;2004
"127";2004-05-06;12,2125;56,5;2004
"128";2004-05-07;11,75;59;2004
"129";2004-05-08;13,425;53,25;2004
"130";2004-05-09;13,8375;57,5;2004
"131";2004-05-10;13,2125;64,5;2004
"132";2004-05-11;13,7625;71,125;2004
"133";2004-05-12;16,275;71,125;2004
"134";2004-05-13;16,925;49,75;2004
"135";2004-05-14;16,8125;56,375;2004
"136";2004-05-15;17,9625;56;2004
"137";2004-05-16;21,1625;51,375;2004
"138";2004-05-17;18,2875;69;2004
"139";2004-05-18;17,25;74,5;2004
"140";2004-05-19;18,2625;73,625;2004
"141";2004-05-20;17,9875;80,625;2004
"142";2004-05-21;16,8875;75,25;2004
"143";2004-05-22;18,025;70,75;2004
"144";2004-05-23;17,9125;43,25;2004
"145";2004-05-24;17;56,875;2004
"146";2004-05-25;16,925;65,25;2004
"147";2004-05-26;17,1375;59,125;2004
"148";2004-05-27;19,525;62,875;2004
"149";2004-05-28;20,6375;54,625;2004
"150";2004-05-29;20,1625;45,875;2004
"151";2004-05-30;18,125;77,75;2004
