"","A","B","lat","long","type"
"793","species A","species B",46.16169444,4.62381944,"AB"
"794","species A","species B",46.17831944,4.63775833,"AB"
"795","not species A","species B",46.18699444,-1.40498333,"B"
"796","not species A","species B",46.18699444,-1.40498333,"B"
"797","not species A","species B",46.18704444,-1.40512222,"B"
"798","species A","species B",46.20666667,4.54033611,"AB"
"799","species A","species B",46.21901111,4.52518333,"AB"
"800","species A","not species B",46.21901111,4.52518333,"A"
"801","not species A","species B",46.227925,1.455975,"B"
"802","not species A","species B",46.24540278,-0.46437778,"B"
"803","not species A","species B",46.31024722,0.08271667,"B"
"804","not species A","species B",46.35242778,2.98959167,"B"
"805","not species A","species B",46.36135833,2.54655278,"B"
"806","not species A","species B",46.41749444,-1.08381111,"B"
"807","not species A","species B",46.43034167,0.11013333,"B"
"808","not species A","species B",46.43037222,0.11043611,"B"
"809","not species A","species B",46.43037222,0.11043611,"B"
"810","not species A","species B",46.43037222,0.11043611,"B"
"811","not species A","species B",46.43042778,0.11033056,"B"
"812","not species A","species B",46.45382222,-0.86614722,"B"
"813","not species A","species B",46.46428611,0.11518333,"B"
"814","not species A","species B",46.51073889,0.11424444,"B"
"815","not species A","species B",46.57513889,1.50485278,"B"
"816","not species A","species B",46.62068889,0.34357778,"B"
"817","not species A","species B",46.73370556,0.51013333,"B"
"818","species A","species B",46.73384444,0.5102,"AB"
"819","species A","species B",46.73465833,0.50916389,"AB"
"820","species A","species B",46.74791944,0.52866389,"AB"
"821","not species A","species B",46.74906667,2.257575,"B"
"822","not species A","species B",46.82567222,1.92025556,"B"
"823","not species A","species B",46.82900556,-0.42539722,"B"
"824","not species A","species B",46.92264722,-0.60495278,"B"
"825","species A","species B",46.92908056,0.42735278,"AB"
"826","species A","species B",46.92909444,0.42684722,"AB"
"827","not species A","species B",46.93821389,1.24028611,"B"
"828","not species A","species B",47.00238056,4.84715556,"B"
"829","species A","species B",47.00560833,0.06618056,"AB"
"830","species A","species B",47.08906667,-0.04758611,"AB"
"831","not species A","species B",47.09695833,-0.09643611,"B"
"832","species A","species B",47.12168056,0.76461944,"AB"
"833","not species A","species B",47.17183611,-1.59205,"B"
"834","not species A","species B",47.17183611,-1.59205,"B"
"835","species A","species B",47.212775,2.14016111,"AB"
"836","not species A","species B",47.22943889,5.89048056,"B"
"837","not species A","species B",47.22943889,5.89048056,"B"
"839","species A","species B",47.30144167,1.18311389,"AB"
"840","species A","not species B",47.34689722,-0.48671667,"A"
"841","species A","species B",47.35564722,-0.54436389,"AB"
"842","not species A","species B",47.35622778,-0.54258889,"B"
"843","not species A","species B",47.41119722,-2.031925,"B"
"844","species A","species B",47.49853056,0.10522778,"AB"
"845","not species A","species B",47.55346111,-2.39767222,"B"
"846","not species A","species B",47.59025556,0.88245833,"B"
"849","not species A","species B",47.80559444,3.62323333,"B"
"850","species A","species B",47.87713333,1.56470556,"AB"
"851","species A","species B",47.87728333,1.56498333,"AB"
"852","species A","species B",48.00605,0.35786667,"AB"
"854","not species A","species B",48.07083333,7.2775,"B"
"855","not species A","species B",48.31189722,-4.20493889,"B"
"856","not species A","species B",48.35774722,7.56635833,"B"
"858","not species A","species B",48.43956389,-2.15668611,"B"
"859","not species A","species B",48.52203889,-2.03740556,"B"
"860","not species A","species B",48.55816389,-3.38686389,"B"
"861","species A","species B",48.98612778,1.68911111,"AB"
"862","not species A","species B",48.99225278,5.71410278,"B"
"863","not species A","species B",49.049425,-0.71663056,"B"
"864","species A","species B",49.304475,1.12851667,"AB"
"928","not species A","species B",49.34994444,8.13818056,"B"
"934","not species A","species B",47.513462,9.989664,"B"
"935","not species A","species B",47.513462,9.989664,"B"
"936","not species A","species B",47.513462,9.989664,"B"
"937","not species A","species B",47.521068,9.970646,"B"
"938","not species A","species B",47.528006,10.047255,"B"
"939","not species A","species B",47.536153,10.023178,"B"
"940","not species A","species B",47.561232,10.02656,"B"
"941","not species A","species B",47.661389,8.887011,"B"
"942","not species A","species B",47.675274,9.318527,"B"
"943","not species A","species B",47.736042,10.381426,"B"
"944","not species A","species B",47.874814,10.221498,"B"
"945","not species A","species B",47.923036,8.648994,"B"
"946","not species A","species B",47.948215,11.100409,"B"
"947","not species A","species B",48.11,7.664167,"B"
"948","not species A","species B",48.179526,10.383764,"B"
"949","not species A","species B",48.227539,7.711155,"B"
"950","not species A","species B",48.411885,10.294819,"B"
"951","not species A","species B",48.431184,11.597069,"B"
"952","not species A","species B",48.510355,9.755383,"B"
"953","not species A","species B",48.548759,7.975876,"B"
"954","not species A","species B",48.595058,8.86714,"B"
"955","not species A","species B",48.59692,8.065154,"B"
"956","not species A","species B",48.626619,8.074921,"B"
"957","not species A","species B",48.69947,10.242039,"B"
"958","not species A","species B",48.756191,10.3281,"B"
"959","not species A","species B",48.771754,8.090837,"B"
"960","not species A","species B",48.808078,8.863622,"B"
"961","not species A","species B",48.912337,8.503688,"B"
"962","not species A","species B",48.925964,11.374127,"B"
"963","not species A","species B",48.939444,8.574865,"B"
"964","not species A","species B",49.003181,8.492652,"B"
"965","not species A","species B",49.004887,8.493532,"B"
"966","not species A","species B",49.037501,8.173333,"B"
"967","not species A","species B",49.045474,11.356491,"B"
"968","not species A","species B",49.084398,9.194905,"B"
"969","not species A","species B",49.086087,8.64096,"B"
"970","not species A","species B",49.168072,10.329792,"B"
"971","species A","species B",49.184519,7.291584,"AB"
"972","not species A","species B",49.187002,7.36932,"B"
"973","not species A","species B",49.198886,8.118562,"B"
"974","not species A","species B",49.205718,7.498099,"B"
"975","not species A","species B",49.206526,9.581622,"B"
"976","not species A","species B",49.209636,9.567836,"B"
"977","not species A","species B",49.234037,7.186821,"B"
"978","not species A","species B",49.244584,7.249578,"B"
"979","not species A","species B",49.245938,11.091115,"B"
"980","not species A","species B",49.254344,8.737951,"B"
"981","not species A","species B",49.277894,8.766235,"B"
"982","not species A","species B",49.310599,10.707158,"B"
"983","not species A","species B",49.390887,10.968137,"B"
"984","not species A","species B",49.448322,8.673264,"B"
"985","not species A","species B",49.458231,11.082106,"B"
"986","not species A","species B",49.460928,6.632625,"B"
"987","not species A","species B",49.490933,8.183365,"B"
"988","not species A","species B",49.491172,8.181078,"B"
"989","not species A","species B",49.493454,8.152704,"B"
"990","not species A","species B",49.49371,8.15681,"B"
