"";"date";"temperature";"humidite";"ID"
"1";2001-01-01;6,80000000000003;84,75;2001
"2";2001-01-02;13,3625;79,875;2001
"3";2001-01-03;9,42500000000003;76,25;2001
"4";2001-01-04;10,2;76,125;2001
"5";2001-01-05;9,60000000000002;87,125;2001
"6";2001-01-06;11,125;91,5;2001
"7";2001-01-07;8,06250000000002;80,875;2001
"8";2001-01-08;7,80000000000003;64,75;2001
"9";2001-01-09;6,15000000000001;72,75;2001
"10";2001-01-10;11,15;84,5;2001
"11";2001-01-11;12,4625;91,75;2001
"12";2001-01-12;11,875;88,625;2001
"13";2001-01-13;10,375;88;2001
"14";2001-01-14;6,36250000000002;85,625;2001
"15";2001-01-15;6,41250000000003;85,375;2001
"16";2001-01-16;4,88750000000003;80,625;2001
"17";2001-01-17;4,58571428571431;88,7142857142857;2001
"18";2001-01-18;5,47500000000002;94,125;2001
"19";2001-01-19;7,93750000000002;89,875;2001
"20";2001-01-20;6,47500000000002;81,875;2001
"21";2001-01-21;5,31250000000002;76,5;2001
"22";2001-01-22;8,17500000000002;86,375;2001
"23";2001-01-23;11,3;90,5;2001
"24";2001-01-24;11,55;86;2001
"25";2001-01-25;10,0625;74,875;2001
"26";2001-01-26;8,47500000000002;74,125;2001
"27";2001-01-27;9,83750000000002;60,875;2001
"28";2001-01-28;5,95000000000003;87,375;2001
"29";2001-01-29;8,11250000000003;66,375;2001
"30";2001-01-30;7,21250000000002;44,875;2001
"31";2001-01-31;5,63750000000003;56,75;2001
"32";2001-02-01;5,68750000000002;48,25;2001
"33";2001-02-02;4,82500000000002;49;2001
"34";2001-02-03;11,7875;70,125;2001
"35";2001-02-04;10,75;80,25;2001
"36";2001-02-05;9,81250000000001;87,25;2001
"37";2001-02-06;11,6625;88,375;2001
"38";2001-02-07;13,1875;87,625;2001
"39";2001-02-08;13,4375;76,375;2001
"40";2001-02-09;10,0625;50,75;2001
"41";2001-02-10;8,87500000000002;56,375;2001
"42";2001-02-11;8,90000000000002;63,875;2001
"43";2001-02-12;7,87500000000002;80,125;2001
"44";2001-02-13;11,7625;62,875;2001
"45";2001-02-14;10,6;70,875;2001
"46";2001-02-15;8,81250000000003;76,5;2001
"47";2001-02-16;8,43750000000002;82,375;2001
"48";2001-02-17;7,97500000000003;59,5;2001
"49";2001-02-18;7,11250000000003;69,75;2001
"50";2001-02-19;7,38750000000003;69,125;2001
"51";2001-02-20;8,65000000000003;53,5;2001
"52";2001-02-21;8,92500000000003;49;2001
"53";2001-02-22;11,075;52;2001
"54";2001-02-23;10,6125;60,125;2001
"55";2001-02-24;8,72500000000003;50,75;2001
"56";2001-02-25;4,58750000000002;45,375;2001
"57";2001-02-26;4,16250000000002;35,25;2001
"58";2001-02-27;3,71250000000003;72,125;2001
"59";2001-02-28;3,52500000000002;83,5;2001
"60";2001-03-01;6,72500000000002;68,5;2001
"61";2001-03-02;6,95000000000002;90,75;2001
"62";2001-03-03;11,6875;90,125;2001
"63";2001-03-04;11,7;84,25;2001
"64";2001-03-05;12,575;75,375;2001
"65";2001-03-06;11,475;83,125;2001
"66";2001-03-07;13,375;85,375;2001
"67";2001-03-08;12,45;88,25;2001
"68";2001-03-09;12;72,25;2001
"69";2001-03-10;13,6;84,625;2001
"70";2001-03-11;14,6125;81,25;2001
"71";2001-03-12;12,3625;89,875;2001
"72";2001-03-13;12,0125;62;2001
"73";2001-03-14;13,525;60,25;2001
"74";2001-03-15;12,825;73,625;2001
"75";2001-03-16;12,1875;86;2001
"76";2001-03-17;12,6625;77,625;2001
"77";2001-03-18;11,1875;76,75;2001
"78";2001-03-19;14,0625;66,875;2001
"79";2001-03-20;12,9125;83,875;2001
"80";2001-03-21;13,5;82;2001
"81";2001-03-22;16,2375;60,625;2001
"82";2001-03-23;14,5125;79,625;2001
"83";2001-03-24;14,65;86,375;2001
"84";2001-03-25;15,175;61,875;2001
"85";2001-03-26;13,15;66,75;2001
"86";2001-03-27;13,225;72,375;2001
"87";2001-03-28;14,075;73,875;2001
"88";2001-03-29;12,3;70,375;2001
"89";2001-03-30;12,55;45,25;2001
"90";2001-03-31;13,6875;43,125;2001
"91";2001-04-01;13,3;58,5;2001
"92";2001-04-02;11,6333333333334;77,3333333333333;2001
"93";2001-04-03;13,8833333333334;77,5;2001
"94";2001-04-04;14,4875;78,375;2001
"95";2001-04-05;13,725;49,25;2001
"96";2001-04-06;16,425;69,5;2001
"97";2001-04-07;13,375;65;2001
"98";2001-04-08;13,5875;51,75;2001
"99";2001-04-09;13,9;52,875;2001
"100";2001-04-10;14,6;57,75;2001
"101";2001-04-11;13,9375;44,75;2001
"102";2001-04-12;14,45;40,75;2001
"103";2001-04-13;12,1375;38,375;2001
"104";2001-04-14;11,8285714285714;28,7142857142857;2001
"105";2001-04-15;11,3375;45,375;2001
"106";2001-04-16;14,0125;59,5;2001
"107";2001-04-17;12,25;44,875;2001
"108";2001-04-18;11,425;49,375;2001
"109";2001-04-19;12,725;54,75;2001
"110";2001-04-20;10,2375;41,875;2001
"111";2001-04-21;8,7714285714286;44;2001
"112";2001-04-22;11,6875;36,625;2001
"113";2001-04-23;13,475;63,5;2001
"114";2001-04-24;13,7125;73,5;2001
"115";2001-04-25;17,1125;57,875;2001
"116";2001-04-26;15,6875;47,75;2001
"117";2001-04-27;13,1;72,5714285714286;2001
"118";2001-04-28;16,825;57;2001
"119";2001-04-29;14,3625;85,25;2001
"120";2001-04-30;15,275;83,625;2001
"121";2001-05-01;11,5875;82,375;2001
"122";2001-05-02;12,75;90,5;2001
"123";2001-05-03;12,4;82,25;2001
"124";2001-05-04;12,4875;84;2001
"125";2001-05-05;13,525;74;2001
"126";2001-05-06;14,9875;56,875;2001
"127";2001-05-07;15,9875;53,625;2001
"128";2001-05-08;17,0125;60,25;2001
"129";2001-05-09;15,9;76,375;2001
"130";2001-05-10;17,8125;70,75;2001
"131";2001-05-11;18,0625;76,5;2001
"132";2001-05-12;17,1625;76,5;2001
"133";2001-05-13;15,9375;84,75;2001
"134";2001-05-14;17,5875;85;2001
"135";2001-05-15;18,175;82,25;2001
"136";2001-05-16;17,9;85,625;2001
"137";2001-05-17;18,6625;83,5;2001
"138";2001-05-18;19,1375;43,125;2001
"139";2001-05-19;19,7;36;2001
"140";2001-05-20;20;52,5;2001
"141";2001-05-21;17,8375;78,75;2001
"142";2001-05-22;17,975;78,875;2001
"143";2001-05-23;18,975;81,625;2001
"144";2001-05-24;20,3375;73,5;2001
"145";2001-05-25;23,9375;54,75;2001
"146";2001-05-26;23,6875;54;2001
"147";2001-05-27;22,975;63,5;2001
"148";2001-05-28;23,375;67,125;2001
"149";2001-05-29;24,975;64,125;2001
"150";2001-05-30;23,4;77,5;2001
"151";2001-05-31;26,3125;63,375;2001
"152";2001-06-01;23,275;38,25;2001
"153";2001-06-02;21,65;40,625;2001
"154";2001-06-03;20,475;41;2001
"155";2001-06-04;18,2375;39;2001
"156";2001-06-05;18,225;62,5;2001
"157";2001-06-06;21,5375;55,625;2001
"158";2001-06-07;20,5625;58,375;2001
"159";2001-06-08;19,525;85,25;2001
"160";2001-06-09;20,0125;82;2001
"161";2001-06-10;18;87,625;2001
"162";2001-06-11;19,0875;49;2001
"163";2001-06-12;18,7875;52,5;2001
"164";2001-06-13;19,5625;63,875;2001
"165";2001-06-14;21,7;61,125;2001
"166";2001-06-15;21,1625;83,625;2001
"167";2001-06-16;20,8875;64;2001
"168";2001-06-17;19,25;49,75;2001
"169";2001-06-18;20,575;42;2001
"170";2001-06-19;21,675;37;2001
"171";2001-06-20;22,3;43;2001
"172";2001-06-21;22,3375;55,375;2001
"173";2001-06-22;25,3375;52,5;2001
"174";2001-06-23;25,6375;47;2001
"175";2001-06-24;23,375;65,375;2001
"176";2001-06-25;22,5125;79;2001
"177";2001-06-26;23,175;66,875;2001
"178";2001-06-27;23,4;61,375;2001
"179";2001-06-28;25,5875;42,625;2001
"180";2001-06-29;25,475;43,125;2001
"181";2001-06-30;26,6375;51,125;2001
"182";2001-07-01;28,325;36,125;2001
"183";2001-07-02;26,3;43,625;2001
"184";2001-07-03;23,1875;72,25;2001
"185";2001-07-04;22,8375;84,625;2001
"186";2001-07-05;23,875;78,75;2001
"187";2001-07-06;22,8375;82;2001
"188";2001-07-07;23,0375;52,625;2001
"189";2001-07-08;22,9875;59,5;2001
"190";2001-07-09;23,5625;69,375;2001
"191";2001-07-10;25,5625;58,875;2001
"192";2001-07-11;24,575;47,375;2001
"193";2001-07-12;24,1625;51;2001
"194";2001-07-13;24,2625;61,125;2001
"195";2001-07-14;22,5;87,375;2001
"196";2001-07-15;18,3375;85,25;2001
"197";2001-07-16;19,4125;65;2001
"198";2001-07-17;20,6625;61,5;2001
"199";2001-07-18;22,125;56;2001
"200";2001-07-19;19,8875;55,75;2001
"201";2001-07-20;21,075;44;2001
"202";2001-07-21;21,075;48,5;2001
"203";2001-07-22;21,5875;66,125;2001
"204";2001-07-23;22,725;79,625;2001
"205";2001-07-24;26,45;59,125;2001
"206";2001-07-25;25,1875;60,375;2001
"207";2001-07-26;25,0875;69,625;2001
"208";2001-07-27;25,225;76,125;2001
"209";2001-07-28;25,425;70,25;2001
"210";2001-07-29;27,3125;58;2001
"211";2001-07-30;29,025;53,25;2001
"212";2001-07-31;27,0625;62,75;2001
"213";2001-08-01;29,225;50,625;2001
"214";2001-08-02;25,4875;80,625;2001
"215";2001-08-03;26,3375;65,5;2001
"216";2001-08-04;25,7125;48;2001
"217";2001-08-05;24,525;41,625;2001
"218";2001-08-06;24,5375;50,25;2001
"219";2001-08-07;23,9375;60;2001
"220";2001-08-08;25,675;66,25;2001
"221";2001-08-09;23,8;53,875;2001
"222";2001-08-10;23,7125;43;2001
"223";2001-08-11;23,2125;32,625;2001
"224";2001-08-12;22,1375;48,375;2001
"225";2001-08-13;21,7;60,875;2001
"226";2001-08-14;21,1625;86,75;2001
"227";2001-08-15;23,075;82,125;2001
"228";2001-08-16;23,2375;66,625;2001
"229";2001-08-17;24,3625;62,375;2001
"230";2001-08-18;22,45;84,5;2001
"231";2001-08-19;22,5375;89,5;2001
"232";2001-08-20;24,8;62,875;2001
"233";2001-08-21;23,65;59,625;2001
"234";2001-08-22;25,4875;59,875;2001
"235";2001-08-23;25,4125;60,75;2001
"236";2001-08-24;25,1125;65,25;2001
"237";2001-08-25;24,6375;82,5;2001
"238";2001-08-26;24,35;83;2001
"239";2001-08-27;24,5375;80,875;2001
"240";2001-08-28;25,75;69,25;2001
"241";2001-08-29;26,6625;63,125;2001
"242";2001-08-30;25,5375;47,375;2001
"243";2001-08-31;23;45,125;2001
"244";2001-09-01;20,825;42,125;2001
"245";2001-09-02;21,125;45;2001
"246";2001-09-03;19,8375;70,375;2001
"247";2001-09-04;22,4;55,75;2001
"248";2001-09-05;19,025;40,875;2001
"249";2001-09-06;19,3625;45,875;2001
"250";2001-09-07;24,3142857142857;41,2857142857143;2001
"251";2001-09-08;22,9375;42,625;2001
"252";2001-09-09;21,675;46,125;2001
"253";2001-09-10;17,8625;35;2001
"254";2001-09-11;17,7;36,75;2001
"255";2001-09-12;18,825;41,875;2001
"256";2001-09-13;18,5875;59,125;2001
"257";2001-09-14;19,8125;50,5;2001
"258";2001-09-15;19,675;41,375;2001
"259";2001-09-16;19,8;44,75;2001
"260";2001-09-17;16,275;40,75;2001
"261";2001-09-18;15,0625;45;2001
"262";2001-09-19;15,25;64,625;2001
"263";2001-09-20;16,3;80;2001
"264";2001-09-21;17,175;79,125;2001
"265";2001-09-22;17,05;94,625;2001
"266";2001-09-23;18;93,75;2001
"267";2001-09-24;17,8375;79,125;2001
"268";2001-09-25;17,325;63,875;2001
"269";2001-09-26;17,2625;67;2001
"270";2001-09-27;16,4625;80,375;2001
"271";2001-09-28;17,75;88,875;2001
"272";2001-09-29;15,675;96,125;2001
"273";2001-09-30;17,325;86,75;2001
"274";2001-10-01;17,55;93,625;2001
"275";2001-10-02;20,4375;95;2001
